# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99,Server,72,2513.38
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99.9,Offline,72,2627.69
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99.9,Server,72,2513.38
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99,Offline,72,4067.52
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99,Server,72,3883.67
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99.9,Offline,72,4067.52
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99.9,Server,72,3883.67
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,mixtral-8x7b,Offline,72,8021.46
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,mixtral-8x7b,Server,72,7450.27
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,1,llama2-70b-99,Offline,56,4487.88
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,1,llama2-70b-99,Server,56,4202.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,1,llama2-70b-99.9,Offline,56,4487.88
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,1,llama2-70b-99.9,Server,56,4202.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,8,llama2-70b-99,Offline,56,34864.2
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,8,llama2-70b-99,Server,56,32789.74
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,8,llama2-70b-99.9,Offline,56,34864.2
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB-CTS,8,llama2-70b-99.9,Server,56,32789.74
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,1,gptj-99,Offline,56,2579.51
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,1,gptj-99,Server,56,2405.86
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,1,gptj-99.9,Offline,56,2579.51
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,1,gptj-99.9,Server,56,2405.86
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,gptj-99,Offline,56,20086.1
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,gptj-99,Server,56,19243.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,gptj-99.9,Offline,56,20086.1
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,gptj-99.9,Server,56,19243.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Offline,56,31302.7
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Server,56,29228.22
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Offline,56,31302.7
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Server,56,29228.22
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,mixtral-8x7b,Offline,56,59022.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,mixtral-8x7b,Server,56,57177.2
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Offline,56,31059.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Server,56,30128.44
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Offline,56,31059.3
1,Intel(R) Xeon(R) Platinum 8480C,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Server,56,30128.44
1,AMD EPYC 9254 24-Core Processor,NVIDIA L40S,8,llama2-70b-99,Offline,4,948.198
1,AMD EPYC 9254 24-Core Processor,NVIDIA L40S,8,llama2-70b-99,Server,4,592.26
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Offline,72,2695.15
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Server,72,2159.58
