# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,mixtral-8x7b,NVIDIA Grace CPU,Offline,8021.46
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,mixtral-8x7b,NVIDIA Grace CPU,Server,7450.27
1,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Offline,4487.88
1,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Server,4202.3
1,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,4487.88
1,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,4202.3
8,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Offline,34864.2
8,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Server,32789.74
8,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,34864.2
8,1,NVIDIA H200-SXM-141GB-CTS,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,32789.74
1,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Offline,2579.51
1,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Server,2405.86
1,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,2579.51
1,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,2405.86
8,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Offline,20086.1
8,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Server,19243.3
8,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,20086.1
8,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,19243.3
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Offline,31302.7
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Server,29228.22
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,31302.7
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,29228.22
8,1,NVIDIA H200-SXM-141GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480C,Offline,59022.3
8,1,NVIDIA H200-SXM-141GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480C,Server,57177.2
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Offline,31059.3
